input,target
"""grammar: The sharp edge or arris can conveniently be removed using the conventional cabinet scraper sharpened normally or else the proprietary Scarsten scraper""","""The sharp edge or arris can conveniently be removed using the conventional cabinet scraper sharpened normally or else the proprietary Scarsten scraper ."""
"""grammar: Yet older people tend to occupy the oldest poorest housing and are more likely to be private tenants than other groups""","""Yet older people tend to occupy the oldest , poorest housing and are more likely to be private tenants than other groups ."""
"""grammar: And at the very end of the decade after this chapter had been written Provincial announced that such was the cost of retaining ageing DMUs that in 1990 some services would be temporarily reduced until more Sprinters come on stream""","""And at the very end of the decade , after this chapter had been written , Provincial announced that such was the cost of retaining ageing DMUs that in 1990 some services would be temporarily reduced until more Sprinters come on stream ."""
"""grammar: No 31466 halts at the platform with 13.39 Lancaster to Hull service while No 31439 passes non–stop with the 15.50 Hull to Lancaster on 16 August 1985""","""No 31466 halts at the platform with 13.39 Lancaster to Hull service while No 31439 passes non–stop with the 15.50 Hull to Lancaster on 16 August 1985 ."""
"""grammar: As a result the design was modified to include much greater fire resistance adding £50,000 per car to the basic cost of £200,000 of the initial design""","""As a result the design was modified to include much greater fire resistance , adding £50,000 per car to the basic cost of £200,000 of the initial design ."""
"""grammar: Secondly they should conform to the unities of time place and action""","""Secondly , they should conform to the unities of time , place and action ."""
"""grammar: Saint-Léon laid down certain rules for the staging of character dance based on the traditional folk dance of a particular country""","""Saint-Léon laid down certain rules for the staging of character dance based on the traditional folk dance of a particular country ."""
"""grammar: On the valley floor was a fast-flowing river and wherever space could be found the earth had been levelled to form terraces""","""On the valley floor was a fast-flowing river and , wherever space could be found , the earth had been levelled to form terraces ."""
"""grammar: If you have just a few bushes drape individual plants with nets burying or pegging down the edges during vulnerable periods""","""If you have just a few bushes , drape individual plants with nets , burying or pegging down the edges during vulnerable periods ."""
"""grammar: An amorous meeting is forecast so keep yourself smart sociable and suitably alert for what promises to be an interesting episode""","""An amorous meeting is forecast , so keep yourself smart , sociable and suitably alert for what promises to be an interesting episode ."""
"""grammar: ‘ I think he'd  been fascinated by the wooden leg banging on the floor""","""‘ I think he'd  been fascinated by the wooden leg banging on the floor ."""
"""grammar: Even more damaging would be the inclusion of the following thought about Raskolnikov ‘ NB""","""Even more damaging would be the inclusion of the following thought about Raskolnikov : ‘ NB ."""
"""grammar: Believing that the recent emergence of theory in literary education is a symptom of disorder I find the contradictions as symptomatic as the coherences""","""Believing that the recent emergence of theory in literary education is a symptom of disorder , I find the contradictions as symptomatic as the coherences ."""
"""grammar: Those of us who want to champion Pound do him no service at all when we try to excuse the inexcusable""","""Those of us who want to champion Pound do him no service at all when we try to excuse the inexcusable ."""
"""grammar: But they swarm at the windows in such numbers they black out the light and the air""","""But they swarm at the windows in such numbers they black out the light and the air ."""
"""grammar: In a poem designed on such a scale ( and this evidence of ‘ design ’ on such a scale from the first is astonishing ) it was obviously illegitimate to look as Edmund Wilson did for emotional or affective unity in each or any Canto in isolation""","""In a poem designed on such a scale ( and this evidence of ‘ design ’ on such a scale from the first is astonishing ) it was obviously illegitimate to look , as Edmund Wilson did , for emotional or affective unity in each or any Canto in isolation ."""
"""grammar: The UK by contrast requires only that figures are prepared and audited to internationally acceptable standards but not necessarily UK Gaap""","""The UK by contrast requires only that figures are prepared and audited to internationally acceptable standards but not necessarily UK Gaap ."""
"""grammar: This is not however to say that Dr Runcie is correct""","""This is not , however , to say that Dr Runcie is correct ."""
"""grammar: The harvest was early and they had a pre-season tour""","""The harvest was early and they had a pre-season tour ."""
"""grammar: They have agreed a frequency which will allow mobile telephones to be used throughout Europe""","""They have agreed a frequency which will allow mobile telephones to be used throughout Europe ."""
"""grammar: Everyone discussed the khat trade""","""Everyone discussed the khat trade ."""
"""grammar: But Mhoira in and out of the uniform she wore with such pride was equal to any of them""","""But Mhoira , in and out of the uniform she wore with such pride , was equal to any of them ."""
"""grammar: ALMOST inadvertently Neil Kinnock has stumbled on his ‘ big idea ’""","""ALMOST inadvertently , Neil Kinnock has stumbled on his ‘ big idea ’ ."""
"""grammar: For about 100 years Jewish and Christian scholars have demonstrated over and over again that the stereotype of the Pharisees found in the Gospels is a distortion which reflects the animosity of the Evangelists rather than the historical truth or even the attitude of Jesus himself""","""For about 100 years Jewish and Christian scholars have demonstrated over and over again that the stereotype of the Pharisees found in the Gospels is a distortion which reflects the animosity of the Evangelists rather than the historical truth or even the attitude of Jesus himself ."""
"""grammar: He is a veteran campaigner against the screening system but at 76 time is not on his side""","""He is a veteran campaigner against the screening system , but at 76 , time is not on his side ."""
"""grammar: Indeed the French press has produced the dangerous illusion in Lebanon that French soldiers might land in the Christian enclave to protect the Maronites""","""Indeed , the French press has produced the dangerous illusion in Lebanon that French soldiers might land in the Christian enclave to protect the Maronites ."""
"""grammar: The subsequent economic ruin forced Mao to rein in the ‘ Great Leap ’ radical experiments in social engineering""","""The subsequent economic ruin forced Mao to rein in the ‘ Great Leap ’ radical experiments in social engineering ."""
"""grammar: Evaluating the evidence it demonstrated substantial storage by Capricorn of works of art on the premises in London""","""Evaluating the evidence , it demonstrated substantial storage by Capricorn of works of art on the premises in London ."""
"""grammar: For the rest of this unbudgeably static play the couple lounge around discussing the pros and cons of doing a bunk""","""For the rest of this unbudgeably static play , the couple lounge around discussing the pros and cons of doing a bunk ."""
"""grammar: In any case with her languidly top-drawer vowels and spaced-out grandeur Morag Hood makes Vivien seem like the kind of woman who would find it taxing enough cutting the tape on the new ward let alone fighting to keep the old ones open""","""In any case , with her languidly top-drawer vowels and spaced-out grandeur , Morag Hood makes Vivien seem like the kind of woman who would find it taxing enough cutting the tape on the new ward , let alone fighting to keep the old ones open ."""
"""grammar: Soon it will also be the site of a £300m car factory""","""Soon it will also be the site of a £300m car factory ."""
"""grammar: Unlike Western governments which have been careful to avoid giving the appearance of fomenting unrest in eastern Europe the Norwegian Nobel committee is thought to be ready to try to advance the cause of democracy in a country which has shown only the most rudimentary signs of change""","""Unlike Western governments , which have been careful to avoid giving the appearance of fomenting unrest in eastern Europe , the Norwegian Nobel committee is thought to be ready to try to advance the cause of democracy in a country which has shown only the most rudimentary signs of change ."""
"""grammar: The Princess of Wales visits London Lighthouse 111-117 Lancaster Road London W11""","""The Princess of Wales visits London Lighthouse , 111-117 Lancaster Road , London W11 ."""
"""grammar: By 1952 the contacts Ramsey had made in the US led to her being awarded a Smith-Mundt scholarship and she toured the country speaking as an authority on what was then pioneering work being done in the UK""","""By 1952 the contacts Ramsey had made in the US led to her being awarded a Smith-Mundt scholarship and she toured the country speaking as an authority on what was then pioneering work being done in the UK ."""
"""grammar: When it does that Foxley Wood might be in the frame again""","""When it does that , Foxley Wood might be in the frame again ."""
"""grammar: This dispirited the French at the moment their fortunes were improving and their problems were exacerbated when Hastings added his third penalty and his second try in the first 10 minutes of the second half""","""This dispirited the French at the moment their fortunes were improving , and their problems were exacerbated when Hastings added his third penalty and his second try in the first 10 minutes of the second half ."""
"""grammar: Alas he was detained in Paris where he was revealing the price to the French accompanied by Pluto and Scrooge McDuck""","""Alas , he was detained in Paris where he was revealing the price to the French , accompanied by Pluto and Scrooge McDuck ."""
"""grammar: GUINNESS is on the look-out for more deals along the lines of its link-up with Louis Vuitton Moet Hennessy the French luxury goods and drinks group in which Guinness has a 24 per cent stake""","""GUINNESS is on the look-out for more deals along the lines of its link-up with Louis Vuitton Moet Hennessy , the French luxury goods and drinks group in which Guinness has a 24 per cent stake ."""
"""grammar: INFLATION is widely expected to accelerate towards 7.5 per cent late this year after yesterday's  one point increase to 15 per cent in base rates made higher mortgage interest rates inevitable""","""INFLATION is widely expected to accelerate towards 7.5 per cent late this year after yesterday's  one point increase to 15 per cent in base rates made higher mortgage interest rates inevitable ."""
"""grammar: China has so far refused to give any clear response to an offer he made last year to open talks on the basis of new proposals""","""China has so far refused to give any clear response to an offer he made last year to open talks on the basis of new proposals ."""
"""grammar: Mr Endara said he planned to continue his hunger strike to support a civil disobedience campaign to press General Noriega to step down""","""Mr Endara said he planned to continue his hunger strike to support a civil disobedience campaign to press General Noriega to step down ."""
"""grammar: It is unfashionable to point out that for most of his two decades in office Marcos enjoyed considerable grass-roots favour""","""It is unfashionable to point out that for most of his two decades in office Marcos enjoyed considerable grass-roots favour ."""
"""grammar: From that moment he could have transformed his country""","""From that moment he could have transformed his country ."""
"""grammar: Gwyneth Dunwoody MP chairing the democracy debate""","""— Gwyneth Dunwoody MP , chairing the democracy debate ."""
"""grammar: The key phrase used by Mr Meacher is that there should be a ‘ genuine interest ’ involved before industrial action was within the law""","""The key phrase used by Mr Meacher is that there should be a ‘ genuine interest ’ involved before industrial action was within the law ."""
"""grammar: The painfully early death of someone who was part of a youth cult normally prompts obituaries for that cult""","""The painfully early death of someone who was part of a youth cult normally prompts obituaries for that cult ."""
"""grammar: If they are abnormal the information is no longer correct and various physical and mental problems develop""","""If they are abnormal , the information is no longer correct and various physical and mental problems develop ."""
"""grammar: The South Americans have come from a five-nation tournament in Hamburg where they beat Spain 2-1 and lost to Australia 3-2""","""The South Americans have come from a five-nation tournament in Hamburg , where they beat Spain 2-1 and lost to Australia 3-2 ."""
"""grammar: For an autobiography which purports to tell us the real story behind the sacking of George Davies from the Next empire which he founded What Next is on the naive side""","""For an autobiography which purports to tell us the real story behind the sacking of George Davies from the Next empire which he founded , What Next is on the naive side ."""
"""grammar: This declined until it was only 2,146 last year""","""This declined until it was only 2,146 last year ."""
"""grammar: Shares a bit shaky""","""Shares a bit shaky ?"""
"""grammar: It is generally agreed that he has mishandled the students who have been threatened bullied fired on with tear-gas grenades and now the university is closed which means that these cynical and angry students are all over the country spreading disillusion""","""It is generally agreed that he has mishandled the students , who have been threatened , bullied , fired on with tear-gas grenades ; and now the university is closed which means that these cynical and angry students are all over the country spreading disillusion ."""
"""grammar: About the same number are killed at home""","""About the same number are killed at home ."""
"""grammar: This is a no-nonsense restaurant full of regulars a child on Dad's  shoulders teenagers in Day-Glo shorts who skateboard away afterwards workmen in overalls weary shoppers with bulky carrier bags stopping off before getting the bus home""","""This is a no-nonsense restaurant full of regulars : a child on Dad's  shoulders ; teenagers in Day-Glo shorts who skateboard away afterwards ; workmen in overalls ; weary shoppers with bulky carrier bags stopping off before getting the bus home ."""
"""grammar: The big question now is whether Mr Mitsotakis will win an overall majority next month""","""The big question now is whether Mr Mitsotakis will win an overall majority next month ."""
"""grammar: ‘ There is a unity about the whole thing which needs to be practised in a single centre ’ the MRC source said""","""‘ There is a unity about the whole thing which needs to be practised in a single centre , ’ the MRC source said ."""
"""grammar: If the case is going to committee you are able to see the agenda and relevant background papers three working days in advance of the meeting which will be held in public""","""If the case is going to committee you are able to see the agenda and relevant background papers three working days in advance of the meeting , which will be held in public ."""
"""grammar: Guests have the use of the spacious ground-floor living room with direct access to the large south-facing terrace""","""Guests have the use of the spacious ground-floor living room with direct access to the large south-facing terrace ."""
"""grammar: Nowadays the bourgeoisie is more likely to patronise the city's  luxurious food and clothes shops all housed in the medieval streets""","""Nowadays the bourgeoisie is more likely to patronise the city's  luxurious food and clothes shops , all housed in the medieval streets ."""
"""grammar: Actually she opened with Mozart's  scena Misera dove son which tested her somewhat at the top of the stave but there followed arias from Manon Don Pasquale and La Forza del Destino which she gave with commanding conviction variety and characterisation""","""Actually , she opened with Mozart's  scena Misera , dove son which tested her somewhat at the top of the stave , but there followed arias from Manon , Don Pasquale and La Forza del Destino which she gave with commanding conviction , variety and characterisation ."""
"""grammar: In this political sense Mr Gaunt is a populist""","""In this political sense , Mr Gaunt is a populist ."""
"""grammar: Splitting frequencies transmitting different programmes on FM and AM could effectively double listening hours and provides two highly targeted audiences for advertising in a catchment area""","""Splitting frequencies — transmitting different programmes on FM and AM — could effectively double listening hours and provides two highly targeted audiences for advertising in a catchment area ."""
"""grammar: The result could be many hundreds of independents in the UK by the end of the next decade""","""The result could be many hundreds of independents in the UK by the end of the next decade ."""
"""grammar: At every turn he met bewilderment cynicism or hostility he found difficult to understand""","""At every turn he met bewilderment , cynicism or hostility he found difficult to understand ."""
"""grammar: The Eagles ' manager Gary Hetherington said afterwards ‘ It was a tremendous performance and a great day for us""","""The Eagles ' manager , Gary Hetherington , said afterwards : ‘ It was a tremendous performance and a great day for us ."""
"""grammar: A key element of the deal means that all senior AVMD staff including senior partner Jan Robinson have signed five-year contracts to stay with the group""","""A key element of the deal means that all senior AVMD staff , including senior partner Jan Robinson , have signed five-year contracts to stay with the group ."""
"""grammar: The result of this on any significant scale would inevitably be a decline in the quality of the education we provide and consequently of the graduates we produce""","""The result of this on any significant scale would inevitably be a decline in the quality of the education we provide , and consequently of the graduates we produce ."""
"""grammar: A scepticism reverent in tone may be revolutionary in content""","""A scepticism reverent in tone may be revolutionary in content ."""
"""grammar: Even though the country is now relatively peaceful British diplomats still enjoy the protection of British Royal Military Police equipped with the latest in machine pistols and bullet-proof vehicles""","""Even though the country is now relatively peaceful , British diplomats still enjoy the protection of British Royal Military Police equipped with the latest in machine pistols and bullet-proof vehicles ."""
"""grammar: PLYMOUTH MUSEUM & ART GALLERY The last self-portrait by Sir Joshua Reynolds -regarded by many as his finest is among a small group of 17th and 18th-century paintings loaned from the Royal Collection at Windsor Castle""","""PLYMOUTH MUSEUM & ART GALLERY The last self-portrait by Sir Joshua Reynolds -regarded by many as his finest — is among a small group of 17th and 18th-century paintings loaned from the Royal Collection at Windsor Castle ."""
"""grammar: As a result it slipped into a loss of £1.33m in 1988 against a £1.71m taxable profit in 1987""","""As a result it slipped into a loss of £1.33m in 1988 against a £1.71m taxable profit in 1987 ."""
"""grammar: The company has received applications for 6.615 million shares""","""The company has received applications for 6.615 million shares ."""
"""grammar: Instead the UK accountancy bodies would rather see the Commission adopt the guidelines of the International Accounting Standards Committee ( IASC ) which has been working progressively towards the international harmonisation of the rules by which companies report""","""Instead , the UK accountancy bodies would rather see the Commission adopt the guidelines of the International Accounting Standards Committee ( IASC ) , which has been working progressively towards the international harmonisation of the rules by which companies report ."""
"""grammar: Take the Singles ' Society which seemed to exist solely so that its smartly dressed president could chat up pretty girls or the Alice Society ‘ You didn't  sign up for that did you ’ said one newcomer to his friend as they left""","""Take the Singles ' Society , which seemed to exist solely so that its smartly dressed president could chat up pretty girls ; or the Alice Society : ‘ You didn't  sign up for that did you , ’ said one newcomer to his friend as they left ."""
"""grammar: But her cause was badly damaged in 1985 the day before she was to sit next to the Prince of Wales at a dinner in Florida when it was revealed that she posed as a nude model in magazines and appeared in pornographic films in the late 1960s""","""But her cause was badly damaged in 1985 , the day before she was to sit next to the Prince of Wales at a dinner in Florida , when it was revealed that she posed as a nude model in magazines and appeared in pornographic films in the late 1960s ."""
"""grammar: Easter Day 1945 found him in the darkness of a cattle truck in a German railway tunnel there was a true resurrection moment when prisoners were allowed out in to the sunshine and flowers of the railway cutting""","""Easter Day 1945 found him in the darkness of a cattle truck in a German railway tunnel ; there was a true resurrection moment when prisoners were allowed out in to the sunshine and flowers of the railway cutting ."""
"""grammar: Billy The Kid ( 15 Turner Home Entertainment 19 Oct ) called on the titles ‘ Gore Vidal's  Billy The Kid ’ because the novelist wrote the script must be the twentieth remake of this particular story""","""Billy The Kid ( 15 Turner Home Entertainment 19 Oct ) , called on the titles ‘ Gore Vidal's  Billy The Kid ’ because the novelist wrote the script , must be the twentieth remake of this particular story ."""
"""grammar: ALI NORRISH the Oxford University Boat Club president offered to resign last night after failing her first-year engineering examinations for the second time""","""ALI NORRISH , the Oxford University Boat Club president , offered to resign last night after failing her first-year engineering examinations for the second time ."""
"""grammar: The rally ends tomorrow""","""The rally ends tomorrow ."""
"""grammar: ‘ I'm  working on my speech ’ he said in a tired and slightly world-weary voice""","""‘ I'm  working on my speech , ’ he said in a tired and slightly world-weary voice ."""
"""grammar: Her performance though full of poise and presence was at a disadvantage in terms of balance""","""Her performance , though full of poise and presence , was at a disadvantage in terms of balance ."""
"""grammar: ATHENS ( Reuter ) A Briton named as Derek Smith 49 was arrested in Greece for trying to sell 5.5lb of radioactive uranium to a nuclear research centre in the outskirts of Athens""","""ATHENS  Reuter ) — A Briton , named as Derek Smith , 49 , was arrested in Greece for trying to sell 5.5lb of radioactive uranium to a nuclear research centre in the outskirts of Athens ."""
"""grammar: Admittedly this has been achieved in part by the kind of chicanery and double book-keeping which would earn a jail sentence for the treasurer-secretary of a small glue factory""","""Admittedly , this has been achieved , in part , by the kind of chicanery and double book-keeping which would earn a jail sentence for the treasurer-secretary of a small glue factory ."""
"""grammar: At last the single-minded resolve of the Wallenberg Association in Sweden of Nina Lagergren his half-sister Sonja Sonnenfeld the association's  secretary and Per Anger who was first secretary in Budapest during Wallenberg's  time may be rewarded""","""At last , the single-minded resolve of the Wallenberg Association in Sweden , of Nina Lagergren , his half-sister , Sonja Sonnenfeld , the association's  secretary , and Per Anger , who was first secretary in Budapest during Wallenberg's  time , may be rewarded ."""
"""grammar: Colombia does not have a consumption problem comparable to that of the US or Europe""","""Colombia does not have a consumption problem comparable to that of the US or Europe ."""
"""grammar: But unions would be effectively debarred from holding a strike ballot in support of workers already sacked for taking part in unofficial strikes""","""But unions would be effectively debarred from holding a strike ballot in support of workers already sacked for taking part in unofficial strikes ."""
"""grammar: Mr MacGregor also defended the Government's  plans to introduce top-up student loans next autumn""","""Mr MacGregor also defended the Government's  plans to introduce top-up student loans next autumn ."""
"""grammar: It is structured so that LWT's  managers will end up with between 5 per cent and 15 per cent of the new company depending on how well LWT performs in the meantime which they will pay for in 1993-94 at today's  prices""","""It is structured so that LWT's  managers will end up with between 5 per cent and 15 per cent of the new company , depending on how well LWT performs in the meantime , which they will pay for in 1993-94 at today's  prices ."""
"""grammar: Such previously unimaginable impertinences must not only be done by the book they must be seen to be too""","""Such previously unimaginable impertinences must not only be done by the book : they must be seen to be too ."""
"""grammar: We talked about why the story is set over ten days which it quite particularly is ten days of eating from a Thursday to a Saturday""","""We talked about why the story is set over ten days , which it quite particularly is : ten days of eating , from a Thursday to a Saturday ."""
"""grammar: Tippett's  Mask of Time and Birtwistle's  Mask of Orpheus Steve Reich's  Desert Music much of the output of John Tavener and Jonathan Harvey above all Stockhausen's  seven-day wonder Licht""","""Tippett's  Mask of Time and Birtwistle's  Mask of Orpheus , Steve Reich's  Desert Music , much of the output of John Tavener and Jonathan Harvey ; above all , Stockhausen's  seven-day wonder , Licht ."""
"""grammar: Page 21 IoM payout Liquidators of the failed Isle of Man Savings and Investment Bank will pay more than 10p in the pound to investors""","""Page 21 IoM payout : Liquidators of the failed Isle of Man Savings and Investment Bank will pay more than 10p in the pound to investors ."""
"""grammar: Sir Rhodes Boyson The market isn't  enough and I don't  think that Tories have ever believed the market is enough""","""Sir Rhodes Boyson The market isn't  enough , and I don't  think that Tories have ever believed the market is enough ."""
"""grammar: It is also difficult to see more than a small part of the action while defending oneself and difficult to convey to magistrates the naked aggression displayed""","""It is also difficult to see more than a small part of the action while defending oneself , and difficult to convey to magistrates the naked aggression displayed ."""
"""grammar: At last""","""At last ."""
"""grammar: Nikita Sergeyevich started to cry tears rolled down his cheeks""","""Nikita Sergeyevich started to cry , tears rolled down his cheeks ."""
"""grammar: COYHAIQUE Chile ( AFP ) President Pinochet said he has decided to abolish the secret police which he established 16 years ago shortly after coming to power""","""COYHAIQUE , Chile ( AFP ) — President Pinochet said he has decided to abolish the secret police which he established 16 years ago , shortly after coming to power ."""
"""grammar: The most extraordinary performer in my own garden at the moment is not a leaf but a seed pod actually 18 seed pods belonging to the shrub Decaisnea fargesii""","""The most extraordinary performer in my own garden at the moment is not a leaf but a seed pod , actually 18 seed pods , belonging to the shrub Decaisnea fargesii ."""
"""grammar: The investor who has a few privatisation shares and wants to extend a portfolio without paying for advice does have a cheap alternative to discretionary portfolio management""","""The investor who has a few privatisation shares and wants to extend a portfolio without paying for advice does have a cheap alternative to discretionary portfolio management ."""
"""grammar: London & Capital which is linked to UCB the French-owned mortgage company provides a comprehensive foreign currency mortgage service for UK and overseas properties""","""London & Capital , which is linked to UCB , the French-owned mortgage company , provides a comprehensive foreign currency mortgage service for UK and overseas properties ."""
"""grammar: In both cases a site visit will usually be made by the inspector so he or she can see the property usually accompanied by the appellant and the council""","""In both cases a site visit will usually be made by the inspector , so he or she can see the property , usually accompanied by the appellant and the council ."""
"""grammar: The Swiss for example feel blackened at being caricatured as the world's  sweepers-up and the Spanish smart at their portrayal as lazy gypsies""","""The Swiss , for example , feel blackened at being caricatured as the world's  sweepers-up , and the Spanish smart at their portrayal as lazy gypsies ."""
"""grammar: This influences the expectations that the public in Easton have of the police and of their role in the community a point which one constable made by explaining that one resident in Easton upon finding himself locked out of his home called at the station asking for the duplicate set of keys to his house which he thought the police would routinely possess for the residents ' benefit phone calls from the public asking for air and train information also sometimes occur""","""This influences the expectations that the public in Easton have of the police , and of their role in the community — a point which one constable made by explaining that one resident in Easton , upon finding himself locked out of his home , called at the station asking for the duplicate set of keys to his house which he thought the police would routinely possess for the residents ' benefit ; phone calls from the public asking for air and train information also sometimes occur ."""
"""grammar: As one part-time policeman said ‘ The regulars are all right but there's  definitely a difference between them and us""","""As one part-time policeman said , ‘ The regulars are all right , but there's  definitely a difference between them and us ."""
"""grammar: A feature of such stories is their selectivity for they omit to mention the number of part-time reserve police who are unemployed or in low-status employment or who sign up for mercenary reasons or for the power and respect that they believe accompanies the uniform""","""A feature of such stories is their selectivity , for they omit to mention the number of part-time reserve police who are unemployed or in low-status employment , or who sign up for mercenary reasons or for the power and respect that they believe accompanies the uniform ."""
"""grammar: You get these boys in the sections and they're  over-exuberant heavy-handed boys""","""You get these boys in the sections and they're  over-exuberant , heavy-handed boys ."""
"""grammar: As I gazed around the orchard the sun was coming up and there was that peculiar smell of the Normandy countryside""","""As I gazed around the orchard the sun was coming up and there was that peculiar smell of the Normandy countryside ."""
"""grammar: Since we do not have a year-long content analysis of the media we can not investigate the influence of a changing media consensus but we can analyse the differential effects of different elements of the media""","""Since we do not have a year-long content analysis of the media we can not investigate the influence of a changing media consensus but we can analyse the differential effects of different elements of the media ."""
"""grammar: An assistant master at Eton reported a message from the dean's  wife a delectable woman ‘ We have a new canon here at Durham""","""An assistant master at Eton reported a message from the dean's  wife , a delectable woman : ‘ We have a new canon here at Durham ."""
"""grammar: It is a lovely song but it definitely sounds right on Radio 2 and very wrong on Radio 1""","""It is a lovely song , but it definitely sounds right on Radio 2 and very wrong on Radio 1 ."""
"""grammar: It is ritual decayed into spectacle where not continuity but surprise has become the ultimate consideration tradition and originality having their horns uncomfortably locked in the phrase ‘ invariable surprise ’""","""It is ritual decayed into spectacle where not continuity but surprise has become the ultimate consideration , tradition and originality having their horns uncomfortably locked in the phrase ‘ invariable surprise ’ :"""
"""grammar: When projecting the resulting film the jump cuts of the narrative could produce interesting surprises""","""When projecting the resulting film the jump cuts of the narrative could produce interesting surprises ."""
"""grammar: John Hoskyns headed the Policy Unit until 1982""","""John Hoskyns headed the Policy Unit until 1982 ."""
"""grammar: ‘ It might hurt our Lord's  feelings""","""‘ It might hurt our Lord's  feelings ."""
"""grammar: Nevertheless I would advocate studying some subject in depth not necessarily as an undergraduate so that you can feel you have really mastered it at some stage in your career""","""Nevertheless , I would advocate studying some subject in depth , not necessarily as an undergraduate , so that you can feel you have really mastered it at some stage in your career ."""
